tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
11220,489,5299,4810,4810,0,0,0,81,21.015048,0.0,15908.784379,577.329572,2681.65538,2270.36201,3052.92,11220,15,81,1.018416,0.506551,0.506813,0.992891,0.398914,0.341537,0.302551,0.499044,0.050593,0.202118,0.29665,0.497929,0.40055,0.052686,0.01027,0.002846,0.003566,0.013263,0.002025,0.003738,0.001478,0.003247,4.5e-05,0.000464,0.000958,0.003715,0.002876,0.000147
11240,486,5306,4820,4820,0,0,0,80,18.4276,0.0,15972.516244,582.999707,2678.572693,2268.298053,3085.36,11240,15,81,1.020255,0.506763,0.507184,0.991822,0.39926,0.340284,0.30312,0.499193,0.050569,0.201782,0.296887,0.497886,0.400968,0.052541,0.01035,0.002842,0.003558,0.012945,0.001967,0.003644,0.001481,0.003345,4.5e-05,0.000454,0.000959,0.003778,0.0028,0.000146
11260,489,5320,4831,4831,0,0,0,78,18.848197,0.0,16014.820587,582.435964,2678.715839,2264.743573,3079.44,11260,15,81,1.021682,0.506667,0.506282,0.991819,0.40023,0.341088,0.303371,0.500022,0.050551,0.20148,0.296524,0.497638,0.401477,0.052767,0.010652,0.002881,0.003581,0.013058,0.002151,0.003883,0.001553,0.00336,4.4e-05,0.000452,0.001022,0.003836,0.002927,0.000154
11280,493,5337,4844,4844,0,0,0,79,17.757062,0.0,16061.763495,583.509666,2678.733272,2258.235181,3066.29,11280,15,81,1.021334,0.507335,0.506127,0.992082,0.401286,0.342664,0.303951,0.499748,0.050677,0.20131,0.296914,0.497109,0.40166,0.052945,0.01103,0.002907,0.00366,0.013248,0.002213,0.004116,0.001637,0.003599,4.7e-05,0.000454,0.001027,0.003852,0.002928,0.000163
11300,489,5351,4862,4862,0,0,0,81,19.01078,0.0,16087.576296,580.649427,2680.339793,2248.31698,3094.02,11300,15,81,1.022152,0.50622,0.505618,0.992116,0.401687,0.342409,0.30474,0.500216,0.05068,0.201459,0.296917,0.497425,0.401352,0.053019,0.011114,0.002886,0.003665,0.013551,0.002214,0.004173,0.001663,0.003583,4.7e-05,0.000458,0.001041,0.003828,0.002889,0.000162
11320,489,5363,4874,4874,0,0,0,74,15.511143,0.0,16150.034172,582.94141,2681.547447,2247.171744,3096.18,11320,15,81,1.022974,0.506626,0.505835,0.992075,0.402301,0.342847,0.304611,0.499815,0.050692,0.201363,0.29715,0.498273,0.401785,0.052872,0.010923,0.002917,0.003671,0.013692,0.00224,0.004233,0.001693,0.00357,4.6e-05,0.000456,0.001029,0.003905,0.00287,0.000159
11340,503,5385,4882,4882,0,0,0,73,13.984004,0.0,16118.903601,595.406991,2670.609005,2247.538421,3020.22,11340,15,81,1.023025,0.506912,0.50684,0.991059,0.401868,0.343717,0.304738,0.499457,0.050724,0.20127,0.297102,0.498103,0.40228,0.052985,0.011918,0.002872,0.003926,0.013779,0.002233,0.00434,0.001618,0.00353,4.7e-05,0.000455,0.001059,0.003926,0.002956,0.000164
11360,498,5395,4897,4897,0,0,0,77,15.48111,0.0,16066.150702,597.086762,2667.432128,2249.21562,3060.14,11360,15,81,1.022218,0.506043,0.506944,0.990996,0.401916,0.343788,0.304743,0.499768,0.05079,0.200947,0.297093,0.498024,0.401481,0.053013,0.011781,0.002884,0.003885,0.013513,0.00223,0.004331,0.001632,0.003503,4.6e-05,0.000447,0.001046,0.003821,0.002958,0.000165
11380,497,5408,4911,4911,0,0,0,75,16.689608,0.0,15997.818589,594.968187,2668.342205,2249.941612,3075.64,11380,15,81,1.021284,0.506039,0.507718,0.990697,0.401759,0.344589,0.305549,0.499973,0.050784,0.200773,0.297629,0.498292,0.400255,0.053042,0.011875,0.002926,0.003891,0.013746,0.002306,0.004417,0.001639,0.003515,4.5e-05,0.000442,0.001036,0.003823,0.002958,0.000168
11400,494,5416,4922,4922,0,0,0,72,14.053637,0.0,15975.715621,594.598419,2671.347944,2250.254695,3099.65,11400,15,81,1.02266,0.506318,0.508812,0.990853,0.401566,0.344087,0.306106,0.497959,0.050851,0.200619,0.297718,0.498141,0.401361,0.052846,0.011986,0.003003,0.004051,0.013642,0.002308,0.004381,0.001636,0.003485,4.6e-05,0.000441,0.001038,0.003862,0.003035,0.000167
11420,488,5427,4939,4939,0,0,0,78,15.865663,0.0,16007.47899,585.011178,2679.123159,2250.385121,3149.78,11420,15,81,1.022117,0.505779,0.509349,0.989311,0.401212,0.344864,0.306736,0.498482,0.050825,0.200589,0.297327,0.497554,0.401477,0.052981,0.012001,0.002996,0.004158,0.013559,0.002311,0.004686,0.001622,0.003456,4.4e-05,0.000433,0.001069,0.003829,0.003081,0.000172
11440,491,5440,4949,4949,0,0,0,80,16.048692,0.0,16049.259509,587.564059,2676.387249,2250.228082,3139.35,11440,15,81,1.021378,0.506144,0.509881,0.990796,0.401937,0.3445,0.306837,0.498051,0.050828,0.200543,0.296867,0.497606,0.401234,0.053123,0.012206,0.003095,0.004095,0.013205,0.002304,0.004702,0.001611,0.003555,4.7e-05,0.000421,0.00106,0.003881,0.003079,0.000174
11460,495,5454,4959,4959,0,0,0,80,17.776583,0.0,16049.013942,592.436877,2669.78654,2248.252712,3122.05,11460,15,81,1.022453,0.506602,0.510045,0.990724,0.402018,0.343215,0.306837,0.498745,0.050756,0.200324,0.296915,0.498044,0.400464,0.052922,0.012545,0.003077,0.004199,0.013064,0.002222,0.004487,0.00159,0.003486,4.5e-05,0.000422,0.001048,0.003952,0.003001,0.000169
11480,494,5467,4973,4973,0,0,0,78,15.296101,0.0,16086.138106,589.960841,2674.743058,2246.886199,3140.26,11480,15,81,1.022674,0.505962,0.510764,0.993162,0.401672,0.343051,0.306468,0.498841,0.050709,0.200347,0.296727,0.497504,0.400503,0.052863,0.012645,0.003168,0.004103,0.012756,0.00215,0.004502,0.001593,0.003411,4.4e-05,0.000423,0.001051,0.003999,0.002893,0.00017
11500,495,5478,4983,4983,0,0,0,81,15.527212,0.0,16121.721915,590.968934,2673.503854,2245.433496,3143.43,11500,15,81,1.024739,0.50514,0.511258,0.992352,0.403003,0.343732,0.306952,0.498366,0.050813,0.200439,0.296912,0.498657,0.401527,0.053119,0.012668,0.003187,0.0042,0.013283,0.002148,0.004547,0.001603,0.003642,4.7e-05,0.000418,0.001047,0.004102,0.003074,0.000182
11520,487,5483,4996,4996,0,0,0,82,16.36659,0.0,16184.802559,588.402176,2675.231234,2244.597023,3203.88,11520,15,81,1.024428,0.505586,0.511598,0.992212,0.403386,0.34366,0.30702,0.498581,0.050779,0.200598,0.296604,0.499076,0.401272,0.053082,0.012611,0.003169,0.004283,0.013271,0.002141,0.004623,0.001585,0.003608,4.6e-05,0.000411,0.001037,0.004111,0.00304,0.000181
11540,491,5495,5004,5004,0,0,0,78,14.671766,0.0,16246.796597,590.66068,2674.667554,2244.110991,3181.6,11540,15,81,1.026475,0.505157,0.510913,0.993816,0.403113,0.343453,0.306105,0.498066,0.050792,0.200743,0.297006,0.499166,0.400858,0.053335,0.012749,0.003218,0.004214,0.013395,0.002139,0.004709,0.001582,0.003624,4.6e-05,0.000427,0.001047,0.004043,0.003032,0.00019
11560,494,5511,5017,5017,0,0,0,77,14.157606,0.0,16307.715061,589.284307,2676.558086,2243.828499,3177.16,11560,15,81,1.025919,0.505293,0.510391,0.993908,0.402387,0.344776,0.305645,0.49773,0.050816,0.200843,0.297332,0.498761,0.40123,0.053207,0.012293,0.003155,0.004186,0.013412,0.002217,0.004856,0.001622,0.003758,4.5e-05,0.000441,0.00104,0.004128,0.003072,0.000191
11580,493,5522,5029,5029,0,0,0,82,17.038277,0.0,16356.594695,590.894885,2672.066838,2243.665985,3199.24,11580,15,81,1.027272,0.505358,0.510131,0.994943,0.402019,0.344754,0.30632,0.497219,0.050876,0.200783,0.297589,0.497291,0.401529,0.053184,0.012181,0.003149,0.004148,0.012977,0.002213,0.004837,0.001622,0.00378,4.5e-05,0.000442,0.001032,0.00416,0.003058,0.000189
11600,491,5529,5038,5038,0,0,0,79,14.293672,0.0,16446.535626,593.921701,2671.784627,2243.573507,3225.57,11600,15,81,1.027191,0.506081,0.510158,0.99474,0.401739,0.345216,0.306439,0.496955,0.05078,0.20081,0.297789,0.498052,0.40122,0.053133,0.012133,0.003198,0.004134,0.012754,0.002156,0.004891,0.001607,0.003753,4.4e-05,0.00044,0.001029,0.004194,0.00304,0.000188
11620,497,5542,5045,5045,0,0,0,81,14.370088,0.0,16509.766219,596.948408,2668.681504,2243.521356,3202.9,11620,15,81,1.02721,0.506424,0.509543,0.994147,0.40183,0.34446,0.306166,0.497066,0.050841,0.20108,0.297719,0.498847,0.40091,0.05324,0.01216,0.003256,0.00414,0.013168,0.002137,0.004757,0.001632,0.003751,4.5e-05,0.000449,0.001036,0.004132,0.003038,0.00019
11640,503,5560,5057,5057,0,0,0,78,13.570501,0.0,16560.602992,598.23348,2668.196019,2242.786072,3178.73,11640,15,81,1.028245,0.506894,0.508332,0.995524,0.400727,0.34406,0.305365,0.496542,0.050771,0.201138,0.297558,0.497623,0.399715,0.053186,0.012278,0.003302,0.004058,0.012818,0.002115,0.00464,0.001645,0.003798,4.5e-05,0.000461,0.001069,0.003975,0.002974,0.000186
11660,498,5570,5072,5072,0,0,0,75,17.627033,0.0,16590.250055,598.176491,2664.196476,2240.371954,3186.55,11660,15,81,1.027764,0.50749,0.508894,0.995699,0.400248,0.343912,0.304835,0.496355,0.050759,0.200589,0.297146,0.498013,0.398999,0.053091,0.012226,0.003317,0.004043,0.012805,0.00211,0.004659,0.001631,0.003768,4.5e-05,0.000463,0.001066,0.004008,0.002845,0.000179
11680,494,5578,5084,5084,0,0,0,73,16.185133,0.0,16657.701182,597.594945,2666.219922,2237.791975,3213.67,11680,15,81,1.026406,0.507642,0.508945,0.995646,0.400015,0.344392,0.30539,0.496526,0.050753,0.201007,0.297347,0.498688,0.39946,0.053073,0.012384,0.003458,0.004183,0.013198,0.002084,0.004659,0.001658,0.003783,4.5e-05,0.000481,0.001087,0.004073,0.002902,0.000173
