tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate,occupied_cells,centroid_x,centroid_y,mean_radius_from_centroid,mean_move_per_org_tick,mean_local_light,vent_cell_frac,mean_chemical_absorption
2660,50,8,0.025237,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2660,82,8,0.025237,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2680,71,11,0.03481,14,1.065625,0.297971,0.411938,0.053511,4,562.335,18.693,5.85,0.0,1.179955,0.0,0.299119
2680,37,9,0.028481,31,0.931476,0.294923,0.385561,0.04391,4,142.581,218.586,5.63,0.0,0.9725,0.888889,0.318606
2680,75,9,0.028481,23,0.978147,0.304203,0.401476,0.04957,4,738.914,221.091,6.895,0.0,0.967833,0.0,0.27548
2680,99,9,0.028481,38,1.02654,0.287252,0.394044,0.051589,5,161.092,293.103,10.245,0.0,0.890833,0.0,0.304314
2680,0,8,0.025316,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2680,11,8,0.025316,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2680,29,8,0.025316,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2680,50,8,0.025316,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2700,71,10,0.031847,14,1.068947,0.297382,0.412659,0.053753,4,562.222,18.654,6.317,0.0,1.179,0.0,0.296962
2700,37,9,0.028662,31,0.931476,0.294923,0.385561,0.04391,4,142.581,218.586,5.63,0.0,0.9725,0.888889,0.318606
2700,99,9,0.028662,38,1.02654,0.287252,0.394044,0.051589,5,161.092,293.103,10.245,0.0,0.890833,0.0,0.304314
2700,0,8,0.025478,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2700,11,8,0.025478,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2700,29,8,0.025478,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2700,50,8,0.025478,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2700,76,8,0.025478,18,0.957906,0.274235,0.420717,0.048589,4,659.136,341.012,4.535,0.0,0.840375,0.0,0.301275
2720,71,10,0.031348,14,1.068947,0.297382,0.412659,0.053753,4,562.222,18.654,6.317,0.0,1.179,0.0,0.296962
2720,99,10,0.031348,39,1.043322,0.288941,0.393443,0.054307,5,162.247,292.036,10.612,0.0,0.8913,0.0,0.306336
2720,0,8,0.025078,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2720,11,8,0.025078,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2720,29,8,0.025078,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2720,37,8,0.025078,31,0.940671,0.295484,0.38239,0.044695,4,142.918,219.186,5.659,0.0,0.971625,0.875,0.320834
2720,50,8,0.025078,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2720,76,8,0.025078,18,0.957906,0.274235,0.420717,0.048589,4,659.136,341.012,4.535,0.0,0.840375,0.0,0.301275
2740,71,10,0.031056,14,1.068947,0.297382,0.412659,0.053753,4,562.222,18.654,6.317,0.0,1.179,0.0,0.296962
2740,99,9,0.02795,39,1.051945,0.286536,0.393015,0.053757,5,162.134,292.657,11.184,0.0,0.890833,0.0,0.307385
2740,0,8,0.024845,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2740,11,8,0.024845,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2740,29,8,0.024845,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2740,37,8,0.024845,31,0.940671,0.295484,0.38239,0.044695,4,142.918,219.186,5.659,0.0,0.971625,0.875,0.320834
2740,50,8,0.024845,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2740,82,8,0.024845,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2760,71,10,0.030864,14,1.068947,0.297382,0.412659,0.053753,4,562.222,18.654,6.317,0.0,1.179,0.0,0.296962
2760,99,9,0.027778,40,1.049679,0.289291,0.390963,0.054541,5,162.488,294.061,12.7,0.0,0.8885,0.0,0.309877
2760,0,8,0.024691,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2760,11,8,0.024691,21,1.027462,0.319831,0.389388,0.050108,4,578.956,61.501,5.161,0.0,1.137,0.0,0.303964
2760,29,8,0.024691,17,0.98445,0.306536,0.411471,0.044292,4,119.274,142.728,7.779,0.0,1.053,0.0,0.295291
2760,37,8,0.024691,32,0.940357,0.293936,0.38944,0.044301,4,142.585,221.021,6.179,0.0,0.969,0.875,0.316395
2760,50,8,0.024691,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2760,82,8,0.024691,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2780,71,10,0.030864,15,1.06454,0.303045,0.398794,0.053389,4,562.364,18.29,6.061,0.0,1.1811,0.0,0.301846
2780,11,9,0.027778,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2780,29,9,0.027778,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2780,0,8,0.024691,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2780,37,8,0.024691,32,0.940357,0.293936,0.38944,0.044301,4,142.585,221.021,6.179,0.0,0.969,0.875,0.316395
2780,50,8,0.024691,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2780,76,8,0.024691,19,0.959753,0.272003,0.426609,0.047263,4,660.315,340.316,4.829,0.0,0.843,0.0,0.302668
2780,82,8,0.024691,16,1.140234,0.33753,0.465244,0.050227,4,252.105,122.076,16.52,0.0,1.074,0.0,0.287612
2800,11,9,0.027692,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2800,29,9,0.027692,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2800,99,9,0.027692,41,1.061022,0.286769,0.387746,0.05865,5,163.814,293.486,13.654,0.0,0.890833,0.0,0.314821
2800,0,8,0.024615,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2800,37,8,0.024615,32,0.940357,0.293936,0.38944,0.044301,4,142.585,221.021,6.179,0.0,0.969,0.875,0.316395
2800,50,8,0.024615,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2800,71,8,0.024615,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2800,76,8,0.024615,19,0.959753,0.272003,0.426609,0.047263,4,660.315,340.316,4.829,0.0,0.843,0.0,0.302668
2820,11,9,0.027108,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2820,29,9,0.027108,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2820,37,9,0.027108,33,0.938074,0.293515,0.390531,0.04418,4,141.814,222.11,6.879,0.0,0.967833,0.777778,0.315915
2820,99,9,0.027108,41,1.061022,0.286769,0.387746,0.05865,5,163.814,293.486,13.654,0.0,0.890833,0.0,0.314821
2820,0,8,0.024096,20,0.977214,0.342214,0.407076,0.045044,4,557.714,237.75,7.955,0.0,0.948,0.0,0.316166
2820,50,8,0.024096,19,1.015524,0.298905,0.413607,0.056444,4,279.109,77.345,7.678,0.0,1.116,0.0,0.278042
2820,71,8,0.024096,15,1.062105,0.303223,0.388425,0.053757,4,560.842,18.626,5.567,0.0,1.179,0.0,0.305544
2820,76,8,0.024096,19,0.959753,0.272003,0.426609,0.047263,4,660.315,340.316,4.829,0.0,0.843,0.0,0.302668
2840,11,9,0.027356,22,1.019332,0.324905,0.397137,0.049893,4,578.065,61.108,5.571,0.0,1.138167,0.0,0.300555
2840,29,9,0.027356,18,0.975198,0.307816,0.41194,0.043638,4,119.504,144.419,8.506,0.0,1.051833,0.0,0.293985
2840,37,9,0.027356,33,0.938074,0.293515,0.390531,0.04418,4,141.814,222.11,6.879,0.0,0.967833,0.777778,0.315915
