tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
18480,72,16,0.027165,135,0.924992,0.674057,0.523373,0.080836
18480,74,16,0.027165,155,1.254497,0.424055,0.442635,0.068116
18480,2,15,0.025467,120,0.90527,0.387658,0.38745,0.05071
18500,57,17,0.02862,263,1.1288,0.393097,0.53974,0.044109
18500,60,17,0.02862,206,1.043194,0.452989,0.480308,0.05024
18500,74,17,0.02862,156,1.275752,0.423752,0.445895,0.068937
18500,99,17,0.02862,172,0.908605,0.545255,0.516059,0.056887
18500,10,16,0.026936,65,1.118652,0.389754,0.424495,0.068399
18500,56,16,0.026936,206,1.181197,0.59636,0.446536,0.088349
18500,72,16,0.026936,135,0.924992,0.674057,0.523373,0.080836
18500,2,15,0.025253,120,0.90527,0.387658,0.38745,0.05071
18520,57,17,0.028912,263,1.1288,0.393097,0.53974,0.044109
18520,72,17,0.028912,136,0.930759,0.670901,0.524042,0.079895
18520,74,17,0.028912,156,1.275752,0.423752,0.445895,0.068937
18520,99,17,0.028912,173,0.904345,0.543462,0.509802,0.055961
18520,10,16,0.027211,65,1.118652,0.389754,0.424495,0.068399
18520,56,16,0.027211,206,1.181197,0.59636,0.446536,0.088349
18520,60,16,0.027211,206,1.032141,0.450817,0.477214,0.05181
18520,2,15,0.02551,120,0.90527,0.387658,0.38745,0.05071
18540,74,18,0.03,157,1.267051,0.424354,0.443978,0.06742
18540,56,17,0.028333,207,1.174509,0.594217,0.451045,0.088272
18540,72,17,0.028333,136,0.930759,0.670901,0.524042,0.079895
18540,99,17,0.028333,173,0.904345,0.543462,0.509802,0.055961
18540,37,16,0.026667,111,0.999312,0.296721,0.386809,0.044353
18540,57,16,0.026667,263,1.127205,0.393374,0.5419,0.043769
18540,60,16,0.026667,206,1.032141,0.450817,0.477214,0.05181
18540,2,15,0.025,120,0.90527,0.387658,0.38745,0.05071
18560,56,17,0.028333,207,1.174509,0.594217,0.451045,0.088272
18560,57,17,0.028333,264,1.136657,0.393195,0.544609,0.042905
18560,74,17,0.028333,157,1.255322,0.417815,0.445647,0.065635
18560,99,17,0.028333,173,0.904345,0.543462,0.509802,0.055961
18560,37,16,0.026667,111,0.999312,0.296721,0.386809,0.044353
18560,60,16,0.026667,206,1.032141,0.450817,0.477214,0.05181
18560,72,16,0.026667,136,0.936538,0.659618,0.520527,0.07819
18560,2,15,0.025,120,0.90527,0.387658,0.38745,0.05071
18580,56,18,0.030201,208,1.178814,0.586151,0.447924,0.088156
18580,99,18,0.030201,174,0.905423,0.532218,0.511997,0.056509
18580,37,16,0.026846,111,0.999312,0.296721,0.386809,0.044353
18580,60,16,0.026846,206,1.032141,0.450817,0.477214,0.05181
18580,72,16,0.026846,137,0.935537,0.676997,0.52486,0.077167
18580,74,16,0.026846,157,1.261562,0.421878,0.443326,0.0653
18580,2,15,0.025168,120,0.90527,0.387658,0.38745,0.05071
18580,10,15,0.025168,65,1.10787,0.388938,0.427226,0.069305
18600,56,18,0.0299,208,1.178814,0.586151,0.447924,0.088156
18600,99,18,0.0299,174,0.905423,0.532218,0.511997,0.056509
18600,60,17,0.028239,207,1.044245,0.453287,0.480325,0.050565
18600,74,17,0.028239,158,1.254105,0.420765,0.440097,0.06411
18600,2,16,0.026578,121,0.906904,0.390439,0.386616,0.050626
18600,37,16,0.026578,111,0.999312,0.296721,0.386809,0.044353
18600,57,16,0.026578,266,1.156607,0.401046,0.543087,0.041792
18600,72,16,0.026578,137,0.935537,0.676997,0.52486,0.077167
18620,37,18,0.02995,113,0.991361,0.29291,0.389234,0.046654
18620,56,18,0.02995,208,1.178814,0.586151,0.447924,0.088156
18620,99,18,0.02995,174,0.905423,0.532218,0.511997,0.056509
18620,57,17,0.028286,267,1.154145,0.399989,0.540997,0.041031
18620,60,17,0.028286,207,1.044245,0.453287,0.480325,0.050565
18620,72,17,0.028286,138,0.932602,0.684573,0.525564,0.078051
18620,74,17,0.028286,159,1.280288,0.42491,0.441891,0.066899
18620,2,16,0.026622,121,0.906904,0.390439,0.386616,0.050626
18640,37,18,0.030457,114,0.986145,0.29536,0.386966,0.046564
18640,56,18,0.030457,208,1.178814,0.586151,0.447924,0.088156
18640,99,18,0.030457,174,0.905423,0.532218,0.511997,0.056509
18640,2,17,0.028765,122,0.904842,0.390358,0.389952,0.051045
18640,57,17,0.028765,267,1.154145,0.399989,0.540997,0.041031
18640,60,17,0.028765,207,1.044245,0.453287,0.480325,0.050565
18640,72,17,0.028765,138,0.932602,0.684573,0.525564,0.078051
18640,74,17,0.028765,160,1.28689,0.431635,0.441582,0.069177
18660,2,18,0.030405,123,0.902445,0.393491,0.390952,0.050488
18660,99,18,0.030405,174,0.905423,0.532218,0.511997,0.056509
18660,37,17,0.028716,114,0.985444,0.292591,0.387768,0.04704
18660,56,17,0.028716,208,1.142779,0.559837,0.450408,0.0861
18660,57,17,0.028716,267,1.154145,0.399989,0.540997,0.041031
18660,60,17,0.028716,208,1.039571,0.452489,0.480906,0.050476
18660,72,17,0.028716,138,0.932602,0.684573,0.525564,0.078051
