tick,population,births_cum,deaths_cum,deaths_starvation,deaths_damage,deaths_predation,deaths_disaster,corpse_count,corpse_matter,corpse_energy,total_energy,total_biomass,nutrient_total,chemical_total,mean_age,max_age,max_generation,n_lineages,light_supply_cum,flow_light_cum,flow_chemical_cum,flow_nutrient_cum,flow_corpse_matter_cum,flow_corpse_energy_cum,flow_predation_energy_cum,flow_predation_matter_cum,top_lineage_id,top_lineage_frac,pop_north_band,pop_middle_band,pop_south_band,frac_north_band,frac_middle_band,frac_south_band,mean_local_light,vent_cell_population,vent_cell_frac,mean_move_per_org_tick,mean_body_size,mean_membrane_strength,mean_movement_power,mean_movement_efficiency,mean_sensory_range,mean_light_absorption,mean_chemical_absorption,mean_nutrient_absorption,mean_predation_efficiency,mean_corpse_digestion,mean_repair_rate,mean_damage_resistance,mean_reproduction_investment,mean_mutation_rate,var_body_size,var_membrane_strength,var_movement_power,var_movement_efficiency,var_sensory_range,var_light_absorption,var_chemical_absorption,var_nutrient_absorption,var_predation_efficiency,var_corpse_digestion,var_repair_rate,var_damage_resistance,var_reproduction_investment,var_mutation_rate
4280,308,1296,988,988,0,0,0,33,5.773117,0.0,10193.807285,359.591838,2914.635045,2450.0,2222.13,4280,7,79,5341440.0,571329.0315,1291.1222,1427.0508,28.6981,0.0,0.0,0.0,87,0.032468,118,171,19,0.383117,0.555195,0.061688,0.913841,7,0.022727,0.000655,0.983801,0.494735,0.49753,1.000832,0.401827,0.31408,0.300949,0.500515,0.050007,0.198769,0.306114,0.4982,0.40165,0.049153,0.006356,0.001242,0.001228,0.006477,0.000736,0.001033,0.00043,0.000844,1.3e-05,0.000189,0.000502,0.001091,0.000947,5e-05
4300,310,1305,995,995,0,0,0,31,7.179753,0.0,10249.54041,356.842029,2915.978218,2450.0,2208.06,4300,7,79,5366400.0,574514.4075,1292.6072,1432.5163,29.0137,0.0,0.0,0.0,26,0.032258,120,170,20,0.387097,0.548387,0.064516,0.915958,7,0.022581,0.000254,0.983786,0.494122,0.498167,1.000354,0.402582,0.314316,0.301024,0.500422,0.04999,0.199163,0.306019,0.498498,0.401079,0.049237,0.006301,0.001261,0.001278,0.006093,0.000742,0.001044,0.000428,0.000857,1.3e-05,0.000185,0.000509,0.001138,0.000989,5.1e-05
4320,310,1316,1006,1006,0,0,0,35,10.181147,0.0,10310.848923,352.541632,2917.277221,2450.0,2195.11,4320,7,79,5391360.0,577714.2225,1294.0922,1441.4483,29.5035,0.0,0.0,0.0,26,0.032258,119,171,20,0.383871,0.551613,0.064516,0.914332,7,0.022581,0.002495,0.98224,0.494465,0.498486,0.998798,0.402779,0.314088,0.30148,0.500124,0.050058,0.19905,0.306136,0.497735,0.400696,0.049384,0.005751,0.00125,0.001339,0.006202,0.000747,0.001026,0.000434,0.000895,1.3e-05,0.000188,0.000502,0.001139,0.00099,5.3e-05
4340,311,1320,1009,1009,0,0,0,29,4.856559,0.0,10400.168486,359.418025,2915.725416,2450.0,2183.46,4340,7,79,5416320.0,580919.6325,1295.5772,1451.3848,29.8339,0.0,0.0,0.0,26,0.032154,121,170,20,0.389068,0.546624,0.064309,0.915014,7,0.022508,0.000222,0.982929,0.494527,0.4984,0.9995,0.402903,0.313911,0.301339,0.500215,0.050066,0.199159,0.306295,0.498054,0.400509,0.049407,0.005702,0.001265,0.001314,0.0062,0.00076,0.001028,0.000431,0.000899,1.3e-05,0.000185,0.000496,0.001172,0.00099,5.4e-05
4360,314,1328,1014,1014,0,0,0,31,7.608724,0.0,10444.135805,360.859841,2911.531435,2450.0,2166.07,4360,7,79,5441280.0,584125.0425,1297.0622,1458.6542,30.1766,0.0,0.0,0.0,26,0.031847,121,173,20,0.38535,0.550955,0.063694,0.913424,7,0.022293,0.0,0.983004,0.494636,0.498247,1.000502,0.402356,0.313842,0.30074,0.500326,0.050081,0.199422,0.307032,0.497438,0.401323,0.04934,0.005877,0.001272,0.001344,0.006291,0.00076,0.001028,0.000433,0.000898,1.4e-05,0.000183,0.000538,0.001218,0.001003,5.4e-05
4380,314,1332,1018,1018,0,0,0,31,5.429546,0.0,10485.748951,364.623831,2909.946623,2450.0,2171.07,4380,7,79,5466240.0,587330.4525,1298.5472,1466.6548,30.1766,0.0,0.0,0.0,26,0.031847,123,171,20,0.39172,0.544586,0.063694,0.914761,7,0.022293,0.000395,0.984445,0.494765,0.498832,1.001462,0.402333,0.313315,0.301097,0.500327,0.050085,0.199283,0.306659,0.497526,0.401313,0.04943,0.005725,0.001234,0.001309,0.006324,0.000768,0.000967,0.000437,0.000882,1.3e-05,0.000178,0.000534,0.001222,0.001007,5.5e-05
4400,313,1338,1025,1025,0,0,0,32,6.94256,0.0,10522.831455,363.393088,2909.664352,2450.0,2193.81,4400,7,79,5491200.0,590535.8625,1300.0322,1473.752,30.1766,0.0,0.0,0.0,26,0.028754,120,173,20,0.383387,0.552716,0.063898,0.911669,7,0.022364,0.000678,0.984511,0.494674,0.498523,1.001438,0.402344,0.312917,0.301094,0.500583,0.050112,0.199574,0.306519,0.497738,0.40223,0.049229,0.005836,0.001229,0.001315,0.006297,0.000765,0.000978,0.000433,0.000814,1.3e-05,0.000182,0.000524,0.001214,0.001012,5.4e-05
4420,316,1343,1027,1027,0,0,0,30,5.198129,0.0,10548.84162,366.927755,2907.874116,2450.0,2191.07,4420,7,79,5516160.0,593741.2725,1301.5172,1479.8398,30.1766,0.0,0.0,0.0,26,0.025316,119,176,21,0.376582,0.556962,0.066456,0.908592,7,0.022152,0.000229,0.984013,0.495068,0.49873,1.000758,0.402419,0.312814,0.301132,0.500918,0.050171,0.199511,0.306325,0.497563,0.402829,0.049347,0.005766,0.001215,0.001305,0.006198,0.000745,0.000974,0.000445,0.000811,1.3e-05,0.00018,0.000512,0.001214,0.000988,5.4e-05
4440,319,1354,1035,1035,0,0,0,31,6.362488,0.0,10527.655557,368.322898,2905.314614,2450.0,2166.07,4440,7,79,5541120.0,596946.6825,1303.0022,1490.3291,30.7263,0.0,0.0,0.0,54,0.028213,120,178,21,0.376176,0.557994,0.065831,0.909654,7,0.021944,0.000912,0.983632,0.496009,0.499858,1.001099,0.402439,0.312825,0.30157,0.501033,0.05014,0.199713,0.30589,0.497878,0.402487,0.049281,0.00583,0.001253,0.00147,0.006248,0.000775,0.000968,0.000434,0.000843,1.3e-05,0.000176,0.000523,0.00125,0.000997,5.4e-05
4460,318,1358,1040,1040,0,0,0,28,5.588651,0.0,10513.218792,371.512051,2902.899298,2450.0,2183.77,4460,7,79,5566080.0,600152.0925,1304.4872,1498.9836,30.9114,0.0,0.0,0.0,54,0.028302,119,177,22,0.374214,0.556604,0.069182,0.908113,7,0.022013,0.000921,0.984213,0.495292,0.500021,1.001275,0.402361,0.312695,0.301303,0.500765,0.050087,0.199838,0.305939,0.497896,0.402616,0.049315,0.005804,0.001286,0.001467,0.006391,0.000777,0.000972,0.000427,0.000818,1.3e-05,0.000179,0.000529,0.00124,0.00099,5.4e-05
