tick,lineage_id,population,frac,births_cum,mean_body_size,mean_light_absorption,mean_reproduction_investment,mean_mutation_rate
13220,54,13,0.024904,187,1.182813,0.599734,0.392309,0.066558
13220,22,11,0.021073,53,1.141331,0.339526,0.436288,0.048751
13220,24,11,0.021073,77,0.781211,0.394611,0.346114,0.056206
13240,99,20,0.038023,120,0.933813,0.31676,0.475665,0.051178
13240,35,16,0.030418,107,0.788866,0.444186,0.313044,0.077919
13240,90,16,0.030418,215,1.052403,0.428563,0.372761,0.061955
13240,76,15,0.028517,118,1.13429,0.443457,0.39284,0.058248
13240,40,13,0.024715,60,0.878041,0.335632,0.368991,0.053369
13240,54,13,0.024715,187,1.182813,0.599734,0.392309,0.066558
13240,22,11,0.020913,53,1.141331,0.339526,0.436288,0.048751
13240,24,11,0.020913,77,0.781211,0.394611,0.346114,0.056206
13260,99,20,0.037313,121,0.917026,0.320052,0.472247,0.0511
13260,35,16,0.029851,107,0.788866,0.444186,0.313044,0.077919
13260,76,16,0.029851,119,1.137183,0.4523,0.394992,0.0581
13260,90,16,0.029851,216,1.054552,0.430139,0.372131,0.060446
13260,22,13,0.024254,55,1.158163,0.341838,0.438057,0.048517
13260,40,13,0.024254,60,0.878041,0.335632,0.368991,0.053369
13260,54,13,0.024254,187,1.182813,0.599734,0.392309,0.066558
13260,24,12,0.022388,78,0.77304,0.391641,0.346266,0.056467
13280,99,20,0.037665,121,0.917026,0.320052,0.472247,0.0511
13280,90,16,0.030132,216,1.054552,0.430139,0.372131,0.060446
13280,35,15,0.028249,107,0.795773,0.442587,0.312385,0.076265
13280,54,15,0.028249,189,1.180151,0.604445,0.387851,0.065998
13280,76,15,0.028249,119,1.12419,0.447784,0.393354,0.058026
13280,22,13,0.024482,55,1.158163,0.341838,0.438057,0.048517
13280,40,13,0.024482,60,0.878041,0.335632,0.368991,0.053369
13280,24,12,0.022599,78,0.77304,0.391641,0.346266,0.056467
13300,99,19,0.035514,121,0.915841,0.32146,0.472742,0.051137
13300,35,15,0.028037,107,0.795773,0.442587,0.312385,0.076265
13300,54,15,0.028037,189,1.180151,0.604445,0.387851,0.065998
13300,76,15,0.028037,119,1.12419,0.447784,0.393354,0.058026
13300,90,15,0.028037,217,1.029324,0.439357,0.37339,0.064264
13300,22,13,0.024299,55,1.158163,0.341838,0.438057,0.048517
13300,40,13,0.024299,60,0.878041,0.335632,0.368991,0.053369
13300,23,12,0.02243,166,1.124264,0.302425,0.367653,0.068223
13320,99,19,0.035514,121,0.915841,0.32146,0.472742,0.051137
13320,90,17,0.031776,219,1.030133,0.436586,0.373019,0.064008
13320,54,16,0.029907,190,1.183556,0.600264,0.38595,0.065157
13320,35,15,0.028037,107,0.795773,0.442587,0.312385,0.076265
13320,76,15,0.028037,119,1.12419,0.447784,0.393354,0.058026
13320,22,13,0.024299,55,1.158163,0.341838,0.438057,0.048517
13320,40,13,0.024299,60,0.878041,0.335632,0.368991,0.053369
13320,89,13,0.024299,91,1.011878,0.436994,0.366032,0.055874
13340,99,19,0.03626,121,0.915841,0.32146,0.472742,0.051137
13340,90,17,0.032443,220,1.028847,0.437619,0.373606,0.063865
13340,54,16,0.030534,190,1.183556,0.600264,0.38595,0.065157
13340,35,15,0.028626,107,0.795773,0.442587,0.312385,0.076265
13340,76,15,0.028626,119,1.12419,0.447784,0.393354,0.058026
13340,40,13,0.024809,60,0.878041,0.335632,0.368991,0.053369
13340,89,13,0.024809,91,1.011878,0.436994,0.366032,0.055874
13340,23,12,0.022901,166,1.124264,0.302425,0.367653,0.068223
13360,99,19,0.03619,122,0.898913,0.32386,0.467841,0.050844
13360,54,17,0.032381,192,1.188035,0.596172,0.381357,0.066117
13360,90,17,0.032381,220,1.028847,0.437619,0.373606,0.063865
13360,35,15,0.028571,107,0.795773,0.442587,0.312385,0.076265
13360,76,15,0.028571,119,1.12419,0.447784,0.393354,0.058026
13360,22,13,0.024762,58,1.159042,0.342981,0.439175,0.047339
13360,40,13,0.024762,60,0.878041,0.335632,0.368991,0.053369
